"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/17/2002","11","PM10","Not Available","54-009-0011","AQS"
"03/18/2002","54","PM2.5","Not Available","54-009-0005","AQS"
"03/19/2002","20","PM10","Not Available","54-009-0011","AQS"
"03/20/2002","11","PM10","Not Available","54-009-0011","AQS"
"03/21/2002","54","PM2.5","Not Available","54-009-0005","AQS"
"03/22/2002","10","PM10","Not Available","54-009-0011","AQS"
"03/23/2002","13","PM10","Not Available","54-009-0011","AQS"
"03/24/2002","54","PM2.5","Not Available","54-009-0011","AQS"
"03/25/2002","14","PM10","Not Available","54-009-0011","AQS"
"03/26/2002","16","PM10","Not Available","54-009-0011","AQS"
"03/27/2002","66","PM2.5","Not Available","54-009-0005","AQS"
"03/28/2002","22","PM10","Not Available","54-009-0011","AQS"
"03/29/2002","25","PM10","Not Available","54-009-0011","AQS"
"03/30/2002","44","PM2.5","Not Available","54-009-0005","AQS"
"03/31/2002","24","PM10","Not Available","54-009-0011","AQS"
"04/01/2002","13","PM10","Not Available","54-009-0011","AQS"
"04/02/2002","48","PM2.5","Not Available","54-009-0005","AQS"
"04/03/2002","9","PM10","Not Available","54-009-0011","AQS"
"04/04/2002","15","PM10","Not Available","54-009-0011","AQS"
"04/05/2002","45","PM2.5","Not Available","54-009-0005","AQS"
"04/06/2002","12","PM10","Not Available","54-009-0011","AQS"
"04/07/2002","21","PM10","Not Available","54-009-0011","AQS"
"04/08/2002","78","PM2.5","Not Available","54-009-0011","AQS"
"04/09/2002","19","PM10","Not Available","54-009-0011","AQS"
"04/10/2002","14","PM10","Not Available","54-009-0011","AQS"
"04/11/2002","47","PM2.5","Not Available","54-009-0005","AQS"
"04/12/2002","23","PM10","Not Available","54-009-0011","AQS"
"04/13/2002","16","PM10","Not Available","54-009-0011","AQS"
"04/14/2002","64","PM2.5","Not Available","54-009-0011","AQS"
"04/15/2002","22","PM10","Not Available","54-009-0011","AQS"
"04/16/2002","56","PM10","Not Available","54-009-0011","AQS"
"04/17/2002","84","PM2.5","Not Available","54-009-0011","AQS"
"04/18/2002","44","PM10","Not Available","54-009-0011","AQS"
"04/19/2002","39","PM10","Not Available","54-009-0011","AQS"
"04/20/2002","40","PM2.5","Not Available","54-009-0005","AQS"
"04/21/2002","12","PM10","Not Available","54-009-0011","AQS"
"04/22/2002","10","PM10","Not Available","54-009-0011","AQS"
"04/23/2002","46","PM2.5","Not Available","54-009-0005","AQS"
"04/24/2002","20","PM10","Not Available","54-009-0011","AQS"
"04/25/2002","17","PM10","Not Available","54-009-0011","AQS"
"04/26/2002","54","PM2.5","Not Available","54-009-0005","AQS"
"04/27/2002","20","PM10","Not Available","54-009-0011","AQS"
"04/28/2002","19","PM10","Not Available","54-009-0011","AQS"
"04/29/2002","61","PM2.5","Not Available","54-009-0005","AQS"
"04/30/2002","12","PM10","Not Available","54-009-0011","AQS"
"05/01/2002","12","PM10","Not Available","54-009-0011","AQS"
"05/02/2002","60","PM2.5","Not Available","54-009-0005","AQS"
"05/03/2002","11","PM10","Not Available","54-009-0011","AQS"
"05/04/2002","14","PM10","Not Available","54-009-0011","AQS"
"05/05/2002","62","PM2.5","Not Available","54-009-0011","AQS"
"05/06/2002","45","PM10","Not Available","54-009-0011","AQS"
"05/07/2002","22","PM10","Not Available","54-009-0011","AQS"
"05/08/2002","62","PM2.5","Not Available","54-009-0011","AQS"
"05/09/2002","31","PM10","Not Available","54-009-0011","AQS"
"05/10/2002","18","PM10","Not Available","54-009-0011","AQS"
"05/11/2002","62","PM2.5","Not Available","54-009-0005","AQS"
"05/12/2002","31","PM10","Not Available","54-009-0011","AQS"
"05/13/2002","11","PM10","Not Available","54-009-0011","AQS"
"05/14/2002","60","PM2.5","Not Available","54-009-0005","AQS"
"05/15/2002","18","PM10","Not Available","54-009-0011","AQS"
"05/16/2002","40","PM10","Not Available","54-009-0011","AQS"
"05/17/2002","30","PM2.5","Not Available","54-009-0011","AQS"
"05/18/2002","11","PM10","Not Available","54-009-0011","AQS"
"05/19/2002","14","PM10","Not Available","54-009-0011","AQS"
"05/20/2002","34","PM2.5","Not Available","54-009-0011","AQS"
"05/21/2002","33","PM10","Not Available","54-009-0011","AQS"
"05/22/2002","57","PM10","Not Available","54-009-0011","AQS"
"05/23/2002","80","PM2.5","Not Available","54-009-0011","AQS"
"05/24/2002","31","PM10","Not Available","54-009-0011","AQS"
"05/25/2002","30","PM10","Not Available","54-009-0011","AQS"
"05/26/2002","60","PM2.5","Not Available","54-009-0005","AQS"
"05/27/2002","31","PM10","Not Available","54-009-0011","AQS"
"05/28/2002","22","PM10","Not Available","54-009-0011","AQS"
"05/29/2002","79","PM2.5","Not Available","54-009-0011","AQS"
"05/30/2002","44","PM10","Not Available","54-009-0011","AQS"
"05/31/2002","20","CO","Not Available","54-009-0011","AQS"
"06/01/2002","56","PM2.5","Not Available","54-009-0011","AQS"
"06/02/2002","23","CO","Not Available","54-009-0011","AQS"
"06/03/2002","10","CO","Not Available","54-009-0011","AQS"
"06/04/2002","73","PM2.5","Not Available","54-009-0005","AQS"
"06/05/2002","25","PM10","Not Available","54-009-0011","AQS"
"06/06/2002","12","PM10","Not Available","54-009-0011","AQS"
"06/07/2002","39","PM2.5","Not Available","54-009-0005","AQS"
"06/08/2002","26","PM10","Not Available","54-009-0011","AQS"
"06/09/2002","48","PM10","Not Available","54-009-0011","AQS"
"06/10/2002","107","PM2.5","Not Available","54-009-0011","AQS"
"06/11/2002","52","PM10","Not Available","54-009-0011","AQS"
"06/12/2002","25","PM10","Not Available","54-009-0011","AQS"
"06/13/2002","68","PM2.5","Not Available","54-009-0005","AQS"
"06/14/2002","20","PM10","Not Available","54-009-0011","AQS"
"06/15/2002","15","PM10","Not Available","54-009-0011","AQS"
"06/16/2002","38","PM2.5","Not Available","54-009-0005","AQS"
"06/17/2002","22","PM10","Not Available","54-009-0011","AQS"
"06/18/2002","29","PM10","Not Available","54-009-0011","AQS"
"06/19/2002","62","PM2.5","Not Available","54-009-0011","AQS"
"06/20/2002","49","PM10","Not Available","54-009-0011","AQS"
"06/21/2002","60","PM10","Not Available","54-009-0011","AQS"
"06/22/2002","138","PM2.5","Not Available","54-009-0011","AQS"
"06/23/2002","54","PM10","Not Available","54-009-0011","AQS"
"06/24/2002","58","PM10","Not Available","54-009-0011","AQS"
"06/25/2002","150","PM2.5","Not Available","54-009-0011","AQS"
"06/26/2002","62","PM10","Not Available","54-009-0011","AQS"
"06/27/2002","22","PM10","Not Available","54-009-0011","AQS"
"06/28/2002","51","PM2.5","Not Available","54-009-0005","AQS"
"06/29/2002","31","PM10","Not Available","54-009-0011","AQS"
"06/30/2002","54","PM10","Not Available","54-009-0011","AQS"
"07/01/2002","137","PM2.5","Not Available","54-009-0011","AQS"
"07/02/2002","59","PM10","Not Available","54-009-0011","AQS"
"07/03/2002","49","PM10","Not Available","54-009-0011","AQS"
"07/04/2002","110","PM2.5","Not Available","54-009-0011","AQS"
"07/05/2002","20","PM10","Not Available","54-009-0011","AQS"
"07/06/2002","25","PM10","Not Available","54-009-0011","AQS"
"07/07/2002","85","PM2.5","Not Available","54-009-0005","AQS"
"07/08/2002","53","PM10","Not Available","54-009-0011","AQS"
"07/09/2002","47","PM10","Not Available","54-009-0011","AQS"
"07/10/2002","61","PM2.5","Not Available","54-009-0011","AQS"
"07/11/2002","16","PM10","Not Available","54-009-0011","AQS"
"07/12/2002","26","PM10","Not Available","54-009-0011","AQS"
"07/13/2002","82","PM2.5","Not Available","54-009-0005","AQS"
"07/14/2002","22","PM10","Not Available","54-009-0011","AQS"
"07/15/2002","38","PM10","Not Available","54-009-0011","AQS"
"07/16/2002","89","PM2.5","Not Available","54-009-0005","AQS"
"07/17/2002","55","PM10","Not Available","54-009-0011","AQS"
"07/18/2002","56","PM10","Not Available","54-009-0011","AQS"
"07/19/2002","84","PM2.5","Not Available","54-009-0005","AQS"
"07/20/2002","27","PM10","Not Available","54-009-0011","AQS"
"07/21/2002","52","PM10","Not Available","54-009-0011","AQS"
"07/22/2002","115","PM2.5","Not Available","54-009-0011","AQS"
"07/23/2002","29","PM10","Not Available","54-009-0011","AQS"
"07/24/2002","24","PM10","Not Available","54-009-0011","AQS"
"07/25/2002","59","PM2.5","Not Available","54-009-0011","AQS"
"07/26/2002","45","PM10","Not Available","54-009-0011","AQS"
"07/27/2002","29","PM10","Not Available","54-009-0011","AQS"
"07/28/2002","74","PM2.5","Not Available","54-009-0005","AQS"
"07/29/2002","25","PM10","Not Available","54-009-0011","AQS"
"07/30/2002","25","PM10","Not Available","54-009-0011","AQS"
"07/31/2002","68","PM2.5","Not Available","54-009-0005","AQS"
"08/01/2002","43","PM10","Not Available","54-009-0011","AQS"
"08/02/2002","54","PM10","Not Available","54-009-0011","AQS"
"08/03/2002","60","PM2.5","Not Available","54-009-0005","AQS"
"08/04/2002","45","PM10","Not Available","54-009-0011","AQS"
"08/05/2002","53","PM10","Not Available","54-009-0011","AQS"
"08/06/2002","23","PM2.5","Not Available","54-009-0005","AQS"
"08/07/2002","16","CO","Not Available","54-009-0011","AQS"
"08/08/2002","20","PM10","Not Available","54-009-0011","AQS"
"08/09/2002","64","PM2.5","Not Available","54-009-0011","AQS"
"08/10/2002","47","PM10","Not Available","54-009-0011","AQS"
"08/11/2002","57","PM10","Not Available","54-009-0011","AQS"
"08/12/2002","100","PM2.5","Not Available","54-009-0011","AQS"
"08/13/2002","52","PM10","Not Available","54-009-0011","AQS"
"08/14/2002","57","PM10","Not Available","54-009-0011","AQS"
"08/15/2002","68","PM2.5","Not Available","54-009-0011","AQS"
"08/16/2002","20","CO","Not Available","54-009-0011","AQS"
"08/17/2002","21","PM10","Not Available","54-009-0011","AQS"
"08/18/2002","59","PM2.5","Not Available","54-009-0005","AQS"
"08/19/2002","28","PM10","Not Available","54-009-0011","AQS"
"08/20/2002","19","PM10","Not Available","54-009-0011","AQS"
"08/21/2002","66","PM2.5","Not Available","54-009-0011","AQS"
"08/22/2002","51","PM10","Not Available","54-009-0011","AQS"
"08/23/2002","19","CO","Not Available","54-009-0011","AQS"
"08/24/2002","58","PM2.5","Not Available","54-009-0005","AQS"
"08/25/2002","22","PM10","Not Available","54-009-0011","AQS"
"08/26/2002","24","CO","Not Available","54-009-0011","AQS"
"08/27/2002","63","PM2.5","Not Available","54-009-0005","AQS"
"08/28/2002","20","CO","Not Available","54-009-0011","AQS"
"08/29/2002","22","CO","Not Available","54-009-0011","AQS"
"08/30/2002","39","PM2.5","Not Available","54-009-0011","AQS"
"08/31/2002","20","CO","Not Available","54-009-0011","AQS"
"09/01/2002","20","CO","Not Available","54-009-0011","AQS"
"09/02/2002","59","PM2.5","Not Available","54-009-0005","AQS"
"09/03/2002","51","PM10","Not Available","54-009-0011","AQS"
"09/04/2002","24","CO","Not Available","54-009-0011","AQS"
"09/05/2002","55","PM2.5","Not Available","54-009-0005","AQS"
"09/06/2002","24","CO","Not Available","54-009-0011","AQS"
"09/07/2002","31","PM10","Not Available","54-009-0011","AQS"
"09/08/2002","70","PM2.5","Not Available","54-009-0005","AQS"
"09/09/2002","35","PM10","Not Available","54-009-0011","AQS"
"09/10/2002","52","PM10","Not Available","54-009-0011","AQS"
"09/11/2002","37","PM2.5","Not Available","54-009-0005","AQS"
"09/12/2002","28","CO","Not Available","54-009-0011","AQS"
"09/13/2002","39","CO","Not Available","54-009-0011","AQS"
"09/14/2002","84","PM2.5","Not Available","54-009-0011","AQS"
"09/15/2002","25","CO","Not Available","54-009-0011","AQS"
"09/16/2002","24","CO","Not Available","54-009-0011","AQS"
"09/17/2002","89","PM2.5","Not Available","54-009-0005","AQS"
"09/18/2002","45","PM10","Not Available","54-009-0011","AQS"
"09/19/2002","38","PM10","Not Available","54-009-0011","AQS"
"09/20/2002","75","PM2.5","Not Available","54-009-0011","AQS"
"09/21/2002","27","CO","Not Available","54-009-0011","AQS"
"09/22/2002","38","CO","Not Available","54-009-0011","AQS"
"09/23/2002","41","PM2.5","Not Available","54-009-0005","AQS"
"09/24/2002","48","CO","Not Available","54-009-0011","AQS"
"09/25/2002","30","CO","Not Available","54-009-0011","AQS"
"09/26/2002","32","PM2.5","Not Available","54-009-0005","AQS"
"09/27/2002","28","CO","Not Available","54-009-0011","AQS"
"09/28/2002","28","CO","Not Available","54-009-0011","AQS"
"09/29/2002","94","PM2.5","Not Available","54-009-0005","AQS"
"09/30/2002","43","PM10","Not Available","54-009-0011","AQS"
"10/01/2002","51","PM10","Not Available","54-009-0011","AQS"
"10/02/2002","90","PM2.5","Not Available","54-009-0011","AQS"
"10/03/2002","34","PM10","Not Available","54-009-0011","AQS"
"10/04/2002","29","PM10","Not Available","54-009-0011","AQS"
"10/05/2002","35","PM2.5","Not Available","54-009-0005","AQS"
"10/06/2002","17","PM10","Not Available","54-009-0011","AQS"
"10/07/2002","16","PM10","Not Available","54-009-0011","AQS"
"10/08/2002","38","PM2.5","Not Available","54-009-0011","AQS"
"10/09/2002","32","PM10","Not Available","54-009-0011","AQS"
"10/10/2002","32","PM10","Not Available","54-009-0011","AQS"
"10/11/2002","38","PM2.5","Not Available","54-009-0005","AQS"
"10/12/2002","21","PM10","Not Available","54-009-0011","AQS"
"10/13/2002","18","PM10","Not Available","54-009-0011","AQS"
"10/14/2002","25","PM2.5","Not Available","54-009-0005","AQS"
"10/15/2002","19","PM10","Not Available","54-009-0011","AQS"
"10/16/2002","11","PM10","Not Available","54-009-0011","AQS"
"10/17/2002","28","PM2.5","Not Available","54-009-0011","AQS"
"10/18/2002","20","PM10","Not Available","54-009-0011","AQS"
"10/19/2002","16","CO","Not Available","54-009-0011","AQS"
"10/20/2002","48","PM2.5","Not Available","54-009-0005","AQS"
"10/21/2002","19","PM10","Not Available","54-009-0011","AQS"
"10/22/2002","31","PM10","Not Available","54-009-0011","AQS"
"10/23/2002","57","PM2.5","Not Available","54-009-0005","AQS"
"10/24/2002","19","PM10","Not Available","54-009-0011","AQS"
"10/25/2002","17","PM10","Not Available","54-009-0011","AQS"
"10/26/2002","60","PM2.5","Not Available","54-009-0005","AQS"
"10/27/2002","17","PM10","Not Available","54-009-0011","AQS"
"10/28/2002","19","PM10","Not Available","54-009-0011","AQS"
"10/29/2002","31","PM2.5","Not Available","54-009-0011","AQS"
"10/30/2002","16","CO","Not Available","54-009-0011","AQS"
"10/31/2002","16","PM10","Not Available","54-009-0011","AQS"
"11/01/2002","70","PM2.5","Not Available","54-009-0005","AQS"
"11/02/2002","16","CO","Not Available","54-009-0011","AQS"
"11/03/2002","28","PM10","Not Available","54-009-0011","AQS"
"11/04/2002","52","PM2.5","Not Available","54-009-0005","AQS"
"11/05/2002","18","CO","Not Available","54-009-0011","AQS"
"11/06/2002","18","CO","Not Available","54-009-0011","AQS"
"11/07/2002","72","PM2.5","Not Available","54-009-0005","AQS"
"11/08/2002","30","CO","Not Available","54-009-0011","AQS"
"11/09/2002","31","CO","Not Available","54-009-0011","AQS"
"11/10/2002","53","PM2.5","Not Available","54-009-0011","AQS"
"11/11/2002","23","CO","Not Available","54-009-0011","AQS"
"11/12/2002","20","CO","Not Available","54-009-0011","AQS"
"11/13/2002","49","PM2.5","Not Available","54-009-0005","AQS"
"11/14/2002","26","CO","Not Available","54-009-0011","AQS"
"11/15/2002","31","CO","Not Available","54-009-0011","AQS"
"11/16/2002","40","PM2.5","Not Available","54-009-0005","AQS"
"11/17/2002","20","CO","Not Available","54-009-0011","AQS"
"11/18/2002","22","CO","Not Available","54-009-0011","AQS"
"11/19/2002","62","PM2.5","Not Available","54-009-0005","AQS"
"11/20/2002","52","PM10","Not Available","54-009-0011","AQS"
"11/21/2002","52","CO","Not Available","54-009-0011","AQS"
"11/22/2002","22","PM2.5","Not Available","54-009-0005","AQS"
"11/23/2002","8","PM10","Not Available","54-009-0011","AQS"
"11/24/2002","20","PM10","Not Available","54-009-0011","AQS"
"11/25/2002","66","PM2.5","Not Available","54-009-0005","AQS"
"11/26/2002","12","PM10","Not Available","54-009-0011","AQS"
"11/27/2002","7","CO","Not Available","54-009-0011","AQS"
"11/28/2002","55","PM2.5","Not Available","54-009-0005","AQS"
"11/29/2002","17","PM10","Not Available","54-009-0011","AQS"
"11/30/2002","16","PM10","Not Available","54-009-0011","AQS"
"12/01/2002","33","PM2.5","Not Available","54-009-0005","AQS"
"12/02/2002","19","PM10","Not Available","54-009-0011","AQS"
"12/03/2002","11","PM10","Not Available","54-009-0011","AQS"
"12/04/2002","68","PM2.5","Not Available","54-009-0005","AQS"
"12/05/2002","15","PM10","Not Available","54-009-0011","AQS"
"12/06/2002","14","PM10","Not Available","54-009-0011","AQS"
"12/07/2002","56","PM2.5","Not Available","54-009-0005","AQS"
"12/08/2002","15","PM10","Not Available","54-009-0011","AQS"
"12/09/2002","15","PM10","Not Available","54-009-0011","AQS"
"12/10/2002","89","PM2.5","Not Available","54-009-0011","AQS"
"12/11/2002","19","PM10","Not Available","54-009-0011","AQS"
"12/12/2002","19","PM10","Not Available","54-009-0011","AQS"
"12/13/2002","66","PM2.5","Not Available","54-009-0011","AQS"
"12/14/2002","14","CO","Not Available","54-009-0011","AQS"
"12/15/2002","16","PM10","Not Available","54-009-0011","AQS"
"12/16/2002","27","PM2.5","Not Available","54-009-0005","AQS"
"12/17/2002","18","PM10","Not Available","54-009-0011","AQS"
"12/18/2002","18","PM10","Not Available","54-009-0011","AQS"
"12/19/2002","51","PM2.5","Not Available","54-009-0011","AQS"
"12/20/2002","12","PM10","Not Available","54-009-0011","AQS"
"12/21/2002","12","PM10","Not Available","54-009-0011","AQS"
"12/22/2002","45","PM2.5","Not Available","54-009-0005","AQS"
"12/23/2002","13","PM10","Not Available","54-009-0011","AQS"
"12/24/2002","12","PM10","Not Available","54-009-0011","AQS"
"12/25/2002","32","PM2.5","Not Available","54-009-0005","AQS"
"12/26/2002","8","PM10","Not Available","54-009-0011","AQS"
"12/27/2002","14","PM10","Not Available","54-009-0011","AQS"
"12/28/2002","61","PM2.5","Not Available","54-009-0005","AQS"
"12/29/2002","22","PM10","Not Available","54-009-0011","AQS"
"12/30/2002","37","PM10","Not Available","54-009-0011","AQS"
"12/31/2002","52","PM2.5","Not Available","54-009-0005","AQS"
"01/01/2003","13","CO","Not Available","54-009-0011","AQS"
"01/02/2003","11","CO","Not Available","54-009-0011","AQS"
"01/03/2003","59","PM2.5","Not Available","54-009-0005","AQS"
"01/04/2003","10","PM10","Not Available","54-009-0011","AQS"
"01/05/2003","14","PM10","Not Available","54-009-0011","AQS"
