"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/09/2011","64","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/10/2011","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/11/2011","41","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/12/2011","43","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/13/2011","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/14/2011","54","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/15/2011","74","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/16/2011","58","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/17/2011","59","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/18/2011","43","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/19/2011","37","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/20/2011","50","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/21/2011","55","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/22/2011","54","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/23/2011","35","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/24/2011","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/25/2011","67","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/26/2011","54","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/27/2011","87","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/28/2011","61","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/29/2011","58","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/30/2011","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"07/31/2011","50","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/01/2011","71","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/02/2011","105","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/03/2011","105","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/04/2011","150","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/05/2011","77","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/06/2011","51","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/07/2011","48","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/08/2011","48","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/09/2011","119","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/10/2011","80","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/11/2011","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/12/2011","50","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/13/2011","58","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/14/2011","80","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/15/2011","101","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/16/2011","77","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/17/2011","61","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/18/2011","71","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/19/2011","80","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/20/2011","97","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/21/2011","55","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/22/2011","90","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/23/2011","101","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/24/2011","101","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/25/2011","115","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/26/2011","122","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/27/2011","100","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/28/2011","126","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/29/2011","90","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/30/2011","108","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"08/31/2011","100","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/01/2011","101","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/02/2011","58","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/03/2011","77","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/04/2011","50","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/05/2011","37","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/06/2011","43","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/07/2011","46","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/08/2011","64","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/09/2011","71","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/10/2011","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/11/2011","58","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/12/2011","80","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/13/2011","90","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/14/2011","49","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/15/2011","27","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/16/2011","35","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/17/2011","64","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/18/2011","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/19/2011","43","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/20/2011","48","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/21/2011","71","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/22/2011","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/23/2011","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/24/2011","105","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/25/2011","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/26/2011","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/27/2011","77","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/28/2011","100","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/29/2011","140","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"09/30/2011","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/01/2011","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/02/2011","49","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/03/2011","74","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/04/2011","90","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/05/2011","84","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/06/2011","87","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/07/2011","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/08/2011","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/09/2011","39","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/10/2011","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/11/2011","41","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/12/2011","46","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/13/2011","36","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/14/2011","51","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/15/2011","93","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/16/2011","100","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/17/2011","50","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/18/2011","40","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/19/2011","36","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/20/2011","41","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/21/2011","54","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/22/2011","48","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/23/2011","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/24/2011","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/25/2011","49","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/26/2011","34","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/27/2011","27","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/28/2011","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/29/2011","43","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/30/2011","48","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"10/31/2011","61","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/01/2011","93","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/02/2011","51","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/03/2011","29","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/04/2011","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/05/2011","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/06/2011","50","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/07/2011","56","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/08/2011","30","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/09/2011","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/10/2011","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/11/2011","41","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/12/2011","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/13/2011","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/14/2011","35","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/15/2011","45","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/16/2011","26","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/17/2011","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/18/2011","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/19/2011","50","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/20/2011","64","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/21/2011","58","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/22/2011","41","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/23/2011","45","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/24/2011","53","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/25/2011","55","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/26/2011","32","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/27/2011","28","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/28/2011","24","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/29/2011","21","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"11/30/2011","34","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/01/2011","41","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/02/2011","66","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/03/2011","35","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/04/2011","19","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/05/2011","41","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/06/2011","18","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/07/2011","29","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/08/2011","35","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/09/2011","28","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/10/2011","20","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/11/2011","42","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/12/2011","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/13/2011","28","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/14/2011","40","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/15/2011","17","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/16/2011","19","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/17/2011","46","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/18/2011","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/19/2011","35","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/20/2011","21","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/21/2011","25","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/22/2011","19","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/23/2011","38","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/24/2011","15","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/25/2011","29","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/26/2011","39","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/27/2011","27","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/28/2011","33","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/29/2011","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/30/2011","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"12/31/2011","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/01/2012","29","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/02/2012","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/03/2012","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/04/2012","30","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/05/2012","33","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/06/2012","56","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/07/2012","36","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/08/2012","33","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/09/2012","39","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/10/2012","49","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/11/2012","33","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/12/2012","29","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/13/2012","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/14/2012","28","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/15/2012","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/16/2012","52","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/17/2012","32","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/18/2012","26","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/19/2012","56","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/20/2012","74","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/21/2012","57","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/22/2012","65","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/23/2012","29","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/24/2012","48","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/25/2012","26","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/26/2012","26","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/27/2012","35","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/28/2012","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/29/2012","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/30/2012","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"01/31/2012","41","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/01/2012","43","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/02/2012","46","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/03/2012","38","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/04/2012","26","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/05/2012","26","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/06/2012","38","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/07/2012","33","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/08/2012","53","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/09/2012","58","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/10/2012","26","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/11/2012","26","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/12/2012","31","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/13/2012","30","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/14/2012","24","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/15/2012","58","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/16/2012","55","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/17/2012","49","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/18/2012","62","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/19/2012","34","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/20/2012","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/21/2012","36","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/22/2012","39","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/23/2012","35","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/24/2012","37","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/25/2012","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/26/2012","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/27/2012","52","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/28/2012","63","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"02/29/2012","41","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/01/2012","58","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/02/2012","47","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/03/2012","40","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/04/2012","43","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/05/2012","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/06/2012","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/07/2012","43","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/08/2012","30","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/09/2012","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/10/2012","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/11/2012","34","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/12/2012","46","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/13/2012","41","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/14/2012","44","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/15/2012","39","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/16/2012","40","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/17/2012","44","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/18/2012","39","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/19/2012","71","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/20/2012","39","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/21/2012","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/22/2012","42","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/23/2012","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/24/2012","51","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/25/2012","77","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/26/2012","61","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/27/2012","74","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/28/2012","51","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/29/2012","62","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/30/2012","60","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"03/31/2012","84","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/01/2012","71","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/02/2012","57","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/03/2012","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/04/2012","38","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/05/2012","32","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/06/2012","48","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/07/2012","50","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/08/2012","56","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/09/2012","43","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/10/2012","64","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/11/2012","53","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/12/2012","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/13/2012","59","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/14/2012","56","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/15/2012","40","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/16/2012","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/17/2012","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/18/2012","46","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/19/2012","58","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/20/2012","35","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/21/2012","44","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/22/2012","45","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/23/2012","47","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/24/2012","115","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/25/2012","67","Ozone","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/26/2012","59","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/27/2012","58","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
"04/28/2012","62","PM2.5","McALESTER MUNICIPAL AIRPORT","40-121-0415","AQS"
